Korean,English
나,I / me
너,you
그,he
그녀,she
우리,we
이것,this
저것,that
여기,here
거기,there
누구,who
무엇,what
어디,where
언제,when
왜,why
어떻게,how
아니요,no
네,yes
감사합니다,thank you
죄송합니다,sorry
안녕하세요,hello
안녕히 가세요,goodbye
사랑하다,to love
먹다,to eat
마시다,to drink
가다,to go
오다,to come
하다,to do
보다,to see
듣다,to hear
말하다,to speak
읽다,to read
쓰다,to write
일하다,to work
공부하다,to study
자다,to sleep
일어나다,to wake up
앉다,to sit
서다,to stand
걷다,to walk
뛰다,to run
사다,to buy
팔다,to sell
만들다,to make
배우다,to learn
생각하다,to think
알다,to know
모르다,to not know
좋아하다,to like
싫어하다,to dislike
필요하다,to need
있다,to exist
없다,to not exist
많다,to be many
적다,to be few
크다,to be big
작다,to be small
짧다,to be short
높다,to be high
낮다,to be low
빠르다,to be fast
느리다,to be slow
덥다,to be hot
춥다,to be cold
좋다,to be good
나쁘다,to be bad
새롭다,to be new
오래되다,to be old
예쁘다,to be pretty
잘생기다,to be handsome
귀엽다,to be cute
행복하다,to be happy
슬프다,to be sad
화나다,to be angry
피곤하다,to be tired
재미있다,to be interesting
지루하다,to be boring
어렵다,to be difficult
쉽다,to be easy
바쁘다,to be busy
한가하다,to be free
건강하다,to be healthy
아프다,to be sick
깨끗하다,to be clean
더럽다,to be dirty
무겁다,to be heavy
가볍다,to be light
비싸다,to be expensive
싸다,to be cheap
맛있다,to be delicious
맛없다,to be tasteless
배고프다,to be hungry
목마르다,to be thirsty
졸리다,to be sleepy
무섭다,to be scary
신나다,to be excited
심심하다,to be bored
